id,hasTranslation,surah_ayah,surah_no,ayah_no,hasBroadCategories,hasScientificTopics,hasContextualReference,hasScientificConceptID,hasScientificTafsirTopics,hasScientificNodes,hasTafsirID,hasThemes,hasText
136,Have you considered the fire you kindle?,56:71,56,71,"[""biological"",""physical""]","[""plant_life_agriculture"",""energy_radiation""]",,,"[""Plants as Fuel""]",,TAAK_4_56_71,"[""signs_to_reflect_upon"",""process"",""invitation_to_observe""]",أَفَرَءَيْتُمُ ٱلنَّارَ ٱلَّتِى تُورُونَ
137,So I do swear by the positions of the stars—,56:75,56,75,"[""cosmological""]","[""astronomy_celestial""]","[""76""]",,"[""Relative positions of stars"",""Vast differences between stars""]",,TAAK_4_56_75-76,"[""signs_to_reflect_upon"",""phenomena"",""Oath""]",۞ فَلَآ أُقْسِمُ بِمَوَٰقِعِ ٱلنُّجُومِ
138,"and this, if only you knew, is indeed a great oath—",56:76,56,76,"[""cosmological""]","[""astronomy_celestial""]",,,"[""Relative positions of stars"",""Vast differences between stars""]",,TAAK_4_56_75-76,"[""signs_to_reflect_upon"",""phenomena"",""Oath""]",وَإِنَّهُۥ لَقَسَمٌۭ لَّوْ تَعْلَمُونَ عَظِيمٌ
139,"Indeed, We sent Our messengers with clear proofs, and with them We sent down the Scripture and the balance ˹of justice˺ so that people may administer justice. And We sent down iron with its great might, benefits for humanity, and means for Allah to prove who ˹is willing to˺ stand up for Him and His messengers without seeing Him. Surely Allah is All-Powerful, Almighty.",57:25,57,25,"[""geological"",""cosmological""]","[""minerals_metals"",""space_earth_interaction""]",,,"[""Cosmic Origin of Iron""]",,TAAK_4_57_25,"[""prophetic_scientific"",""ethical_theological"",""material_substance_reference"",""benifits_of_something""]",لَقَدْ أَرْسَلْنَا رُسُلَنَا بِٱلْبَيِّنَٰتِ وَأَنزَلْنَا مَعَهُمُ ٱلْكِتَٰبَ وَٱلْمِيزَانَ لِيَقُومَ ٱلنَّاسُ بِٱلْقِسْطِ ۖ وَأَنزَلْنَا ٱلْحَدِيدَ فِيهِ بَأْسٌۭ شَدِيدٌۭ وَمَنَٰفِعُ لِلنَّاسِ وَلِيَعْلَمَ ٱللَّهُ مَن يَنصُرُهُۥ وَرُسُلَهُۥ بِٱلْغَيْبِ ۚ إِنَّ ٱللَّهَ قَوِىٌّ عَزِيزٌۭ
140,"Allah is the One Who created seven heavens ˹in layers˺, and likewise for the earth. The ˹divine˺ command descends between them so you may know that Allah is Most Capable of everything and that Allah certainly encompasses all things in ˹His˺ knowledge.",65:12,65,12,"[""geological""]","[""earth_layers""]",,,"[""Internal Structure of Earth""]",,TAAK_4_65_12,"[""numeric_emphasis"",""knowledge_understanding""]",ٱللَّهُ ٱلَّذِى خَلَقَ سَبْعَ سَمَٰوَٰتٍۢ وَمِنَ ٱلْأَرْضِ مِثْلَهُنَّ يَتَنَزَّلُ ٱلْأَمْرُ بَيْنَهُنَّ لِتَعْلَمُوٓا۟ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌۭ وَأَنَّ ٱللَّهَ قَدْ أَحَاطَ بِكُلِّ شَىْءٍ عِلْمًۢا
141,"Have they not seen the birds above them, spreading and folding their wings? None holds them up except the Most Compassionate. Indeed, He is All-Seeing of everything.",67:19,67,19,"[""biological"",""physical""]","[""animal_behavior_ecosystems""]",,,"[""Flying Mechanics of Birds"",""Aerodynamics""]",,TAAK_4_67_19,"[""phenomena"",""skeptical_questioning"",""invitation_to_observe""]",أَوَلَمْ يَرَوْا۟ إِلَى ٱلطَّيْرِ فَوْقَهُمْ صَٰٓفَّٰتٍۢ وَيَقْبِضْنَ ۚ مَا يُمْسِكُهُنَّ إِلَّا ٱلرَّحْمَٰنُ ۚ إِنَّهُۥ بِكُلِّ شَىْءٍۭ بَصِيرٌ
142,"Indeed, when the floodwater had overflowed, We carried you in the floating Ark ˹with Noah˺,",69:11,69,11,"[""biological"",""geological""]","[""oceanography""]",,,"[""Mount Judi"",""Location of Noah's Ark"",""Human genetics"",""Second human wave""]",,TAAK_4_69_11,"[""historical_event""]",إِنَّا لَمَّا طَغَا ٱلْمَآءُ حَمَلْنَٰكُمْ فِى ٱلْجَارِيَةِ
143,"Now, I do swear by whatever you see,",69:38,69,38,"[""biological"",""physical""]","[""physiology""]","[""39""]",,"[""Visible and Invisible Realms"",""Empirical Observation"",""Microbiology""]",,TAAK_4_69_38-39,"[""signs_to_reflect_upon"",""prophetic_scientific"",""oath""]",فَلَآ أُقْسِمُ بِمَا تُبْصِرُونَ
144,and whatever you cannot see!,69:39,69,39,"[""biological"",""physical""]","[""physiology""]",,,,,TAAK_4_69_38-39,"[""signs_to_reflect_upon"",""prophetic_scientific"",""oath""]",وَمَا لَا تُبْصِرُونَ
145,"So, I do swear by the Lord of ˹all˺ the points of sunrise and sunset that We are truly capable",70:40,70,40,"[""geological"",""cosmological""]","[""astronomy_celestial"",""day_night_cycles""]",,,"[""Orbital Mechanics""]",,TAAK_4_70_40,"[""phenomena"",""rotation_of_bodies""]",فَلَآ أُقْسِمُ بِرَبِّ ٱلْمَشَٰرِقِ وَٱلْمَغَٰرِبِ إِنَّا لَقَٰدِرُونَ
146,"What is the matter with you that you are not in awe of the Majesty of Allah,",71:13,71,13,"[""biological"",""order_and_design""]","[""physiology""]","[""14""]",,"[""Cellular Complexity"",""Genetics""]",,TAAK_4_71_13-14,"[""ethical_theological"",""design""]",مَّا لَكُمْ لَا تَرْجُونَ لِلَّهِ وَقَارًۭا
147,when He truly created you in stages ˹of development˺?,71:14,71,14,"[""biological"",""order_and_design""]","[""physiology""]",,"[""EMBRYO""]","[""Cellular Complexity"",""Genetics""]",,TAAK_4_71_13-14,"[""ethical_theological"",""design""]",وَقَدْ خَلَقَكُمْ أَطْوَارًا
148,Yes ˹indeed˺! We are ˹most˺ capable of restoring ˹even˺ their very fingertips.,75:4,75,4,"[""biological""]","[""physiology""]",,,"[""Unique Design of Fingertips"",""Reconstruction of Fingertips""]",,TAAK_4_75_4,"[""prophetic_scientific""]",بَلَىٰ قَٰدِرِينَ عَلَىٰٓ أَن نُّسَوِّىَ بَنَانَهُۥ
149,Is there not a period of time when each human is nothing yet worth mentioning?,76:1,76,1,"[""physical"",""cosmological""]","[""time_related"",""cosmology_universe""]",,,"[""Time universe and earth before Humanity""]",,TAAK_4_76_1,"[""ethical_theological"",""skeptical_questioning""]",هَلْ أَتَىٰ عَلَى ٱلْإِنسَٰنِ حِينٌۭ مِّنَ ٱلدَّهْرِ لَمْ يَكُن شَيْـًۭٔا مَّذْكُورًا
150,"˹For˺ indeed, We ˹alone˺ created humans from a drop of mixed fluids, ˹in order˺ to test them, so We made them hear and see.",76:2,76,2,"[""biological""]","[""embryology_development"",""human_development"",""reproduction_heredity""]",,"[""EMBRYO""]","[""Gamete Combination""]","[""EMBRYO_01"",""EMBRYO_02""]",TAAK_4_76_2,"[""creation_story"",""prophetic_scientific""]",إِنَّا خَلَقْنَا ٱلْإِنسَٰنَ مِن نُّطْفَةٍ أَمْشَاجٍۢ نَّبْتَلِيهِ فَجَعَلْنَٰهُ سَمِيعًۢا بَصِيرًا
151,"Did We not create you from a humble fluid,",77:20,77,20,"[""biological"",""order_and_design""]","[""physiology"",""qadar""]","[""21"",""22"",""23""]","[""EMBRYO""]","[""Despised Fluid"",""Anatomy"",""Humble Origin""]","[""EMBRYO_1""]",TAAK_4_77_20-23,"[""prophetic_scientific"",""design"",""process""]",أَلَمْ نَخْلُقكُّم مِّن مَّآءٍۢ مَّهِينٍۢ
152,placing it in a secure place,77:21,77,21,"[""biological"",""order_and_design""]","[""physiology"",""qadar""]",,"[""EMBRYO""]","[""Despised Fluid"",""Anatomy"",""Humble Origin""]","[""EMBRYO_4"",""EMBRYO_8""]",TAAK_4_77_20-23,"[""prophetic_scientific"",""design"",""process""]",فَجَعَلْنَٰهُ فِى قَرَارٍۢ مَّكِينٍ
153,until an appointed time?,77:22,77,22,"[""biological"",""order_and_design""]","[""physiology"",""qadar""]",,,"[""Despised Fluid"",""Anatomy"",""Humble Origin""]",,TAAK_4_77_20-23,"[""prophetic_scientific"",""design"",""process""]",إِلَىٰ قَدَرٍۢ مَّعْلُومٍۢ
154,We ˹perfectly˺ ordained ˹its development˺. How excellent are We in doing so!,77:23,77,23,"[""biological"",""order_and_design""]","[""physiology"",""qadar""]",,,"[""Despised Fluid"",""Anatomy"",""Humble Origin""]",,TAAK_4_77_20-23,"[""prophetic_scientific"",""design"",""process""]",فَقَدَرْنَا فَنِعْمَ ٱلْقَٰدِرُونَ
155,"Have We not smoothed out the earth ˹like a bed˺,",78:6,78,6,"[""geological""]","[""mountains_stability"",""earth_layers""]",,,"[""Mountains as Stakes""]",,TAAK_4_78_6,"[""creation_story"",""metaphorical""]",أَلَمْ نَجْعَلِ ٱلْأَرْضَ مِهَٰدًۭا
156,"and ˹made˺ the mountains as ˹its˺ pegs,",78:7,78,7,"[""geological""]","[""mountains_stability"",""earth_layers""]",,,"[""Mountains as Stakes"",""Mountains as pegs""]",,TAAK_4_78_7,"[""creation_story"",""metaphorical""]",وَٱلْجِبَالَ أَوْتَادًۭا
157,"and sent down from rainclouds pouring water,",78:14,78,14,"[""geological""]","[""hydrology_water_cycle"",""atmospheric_phenomena""]",,"[""HYDRO_METEO""]","[""Pressing Clouds""]","[""HYDRO_METEO_12"",""HYDRO_METEO_21""]",TAAK_4_78_14,"[""phenomena"",""process""]",وَأَنزَلْنَا مِنَ ٱلْمُعْصِرَٰتِ مَآءًۭ ثَجَّاجًۭا
158,"As for the earth, He spread it out as well,",79:30,79,30,"[""geological""]","[""earthquakes_surface_change""]","[""31""]",,"[""Water from Earth's Interior"",""Volcanic Origin of water""]",,TAAK_4_79_30-31,"[""process"",""prophetic_scientific""]",وَٱلْأَرْضَ بَعْدَ ذَٰلِكَ دَحَىٰهَآ
159,bringing forth its water and pastures,79:31,79,31,"[""geological""]","[""earthquakes_surface_change""]",,,"[""Water from Earth's Interior"",""Volcanic Origin of water""]",,TAAK_4_79_30-31,"[""process"",""prophetic_scientific""]",أَخْرَجَ مِنْهَا مَآءَهَا وَمَرْعَىٰهَا
160,and setting the mountains firmly ˹upon it˺—,79:32,79,32,"[""geological""]","[""mountains_stability"",""mountains_formation""]","[""33""]",,"[""Scale of Creation"",""Creation of Man vs Mountains""]",,TAAK_4_79_32-33,"[""phenomena""]",وَٱلْجِبَالَ أَرْسَىٰهَا
161,all as ˹a means of˺ sustenance for you and your animals.,79:33,79,33,"[""geological""]","[""mountains_stability"",""mountains_formation""]",,,"[""Scale of Creation"",""Creation of Man vs Mountains""]",,TAAK_4_79_32-33,"[""phenomena""]",مَتَٰعًۭا لَّكُمْ وَلِأَنْعَٰمِكُمْ
162,Let people then consider their food:,80:24,80,24,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]","[""25"",""26"",""27"",""28"",""29"",""30""]",,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",فَلْيَنظُرِ ٱلْإِنسَٰنُ إِلَىٰ طَعَامِهِۦٓ
163,how We pour down rain in abundance,80:25,80,25,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",أَنَّا صَبَبْنَا ٱلْمَآءَ صَبًّۭا
164,"and meticulously split the earth open ˹for sprouts˺,",80:26,80,26,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",ثُمَّ شَقَقْنَا ٱلْأَرْضَ شَقًّۭا
165,"causing grain to grow in it,",80:27,80,27,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",فَأَنۢبَتْنَا فِيهَا حَبًّۭا
166,"as well as grapes and greens,",80:28,80,28,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",وَعِنَبًۭا وَقَضْبًۭا
167,"and olives and palm trees,",80:29,80,29,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",وَزَيْتُونًۭا وَنَخْلًۭا
168,"and dense orchards,",80:30,80,30,"[""biological"",""geological""]","[""plant_life_agriculture"",""hydrology_water_cycle""]",,,"[""Sustenance""]",,TAAK_4_80_24-30,"[""signs_to_reflect_upon"",""process"",""biological_diversity""]",وَحَدَآئِقَ غُلْبًۭا
169,I do swear by the receding stars,81:15,81,15,"[""cosmological""]","[""astronomy_celestial"",""cosmology_universe""]","[""16""]",,"[""The Sweepers"",""Black Holes""]",,TAAK_4_81_15-16,"[""phenomena"",""prophetic_scientific"",""oath"",""Scientific Theory""]",فَلَآ أُقْسِمُ بِٱلْخُنَّسِ
170,"which travel and hide,",81:16,81,16,"[""cosmological""]","[""astronomy_celestial"",""cosmology_universe""]",,,"[""The Sweepers"",""Black Holes""]",,TAAK_4_81_15-16,"[""phenomena"",""prophetic_scientific"",""oath""]",ٱلْجَوَارِ ٱلْكُنَّسِ
171,"O humanity! What has emboldened you against your Lord, the Most Generous,",82:6,82,6,"[""biological""]","[""embryology_development"",""human_development""]","[""7""]",,"[""Creation Fashioning Balancing""]",,TAAK_4_82_6-7,"[""creation_story"",""process"",""design""]",يَٰٓأَيُّهَا ٱلْإِنسَٰنُ مَا غَرَّكَ بِرَبِّكَ ٱلْكَرِيمِ
172,"Who created you, fashioned you, and perfected your design,",82:7,82,7,"[""biological""]","[""embryology_development"",""human_development""]",,"[""EMBRYO""]","[""Creation Fashioning Balancing""]",,TAAK_4_82_6-7,"[""creation_story"",""process"",""design""]",ٱلَّذِى خَلَقَكَ فَسَوَّىٰكَ فَعَدَلَكَ
173,"By the sky full of constellations,",85:1,85,1,"[""cosmological""]","[""astronomy_celestial""]",,,"[""Great Stars/Towers"",""Clusters of Stars"",""Constellations"",""Zodiacal Constellations""]",,TAAK_4_85_1,"[""signs_to_reflect_upon"",""phenomena"",""oath""]",وَٱلسَّمَآءِ ذَاتِ ٱلْبُرُوجِ
174,By the heaven and the nightly star!,86:1,86,1,"[""physical"",""cosmological""]","[""astronomy_celestial""]","[""2"",""3""]",,"[""Sound waves"",""The night comer"",""The Piercing Star"",""Neutron Star"",""Pulsar""]",,TAAK_4_86_1-3,"[""phenomena"",""prophetic_scientific"",""oath"",""scientific_theory""]",وَٱلسَّمَآءِ وَٱلطَّارِقِ
175,And what will make you realize what the nightly star is?,86:2,86,2,"[""physical"",""cosmological""]","[""astronomy_celestial""]",,,"[""Sound waves"",""The night comer"",""The Piercing Star"",""Neutron Star"",""Pulsar""]",,TAAK_4_86_1-3,"[""phenomena"",""prophetic_scientific"",""oath"",""scientific_theory""]",وَمَآ أَدْرَىٰكَ مَا ٱلطَّارِقُ
176,˹It is˺ the star of piercing brightness.,86:3,86,3,"[""cosmological""]","[""astronomy_celestial""]",,,"[""Sound waves"",""The night comer"",""The Piercing Star"",""Neutron Star"",""Pulsar""]",,TAAK_4_86_1-3,"[""phenomena"",""prophetic_scientific"",""oath"",""scientific_theory""]",ٱلنَّجْمُ ٱلثَّاقِبُ
177,Let people then consider what they were created from!,86:5,86,5,"[""biological""]","[""embryology_development"",""physiology""]","[""6"",""7""]","[""EMBRYO""]","[""Origin of gonads between Backbone and Ribs""]",,TAAK_4_86_5-7,"[""signs_to_reflect_upon"",""creation_story"",""prophetic_scientific"",""Scientific Fact""]",فَلْيَنظُرِ ٱلْإِنسَٰنُ مِمَّ خُلِقَ
178,"˹They were˺ created from a spurting fluid,",86:6,86,6,"[""biological""]","[""embryology_development"",""physiology""]",,"[""EMBRYO""]","[""Origin of gonads between Backbone and Ribs""]",,TAAK_4_86_5-7,"[""signs_to_reflect_upon"",""creation_story"",""prophetic_scientific"",""Scientific Fact""]",خُلِقَ مِن مَّآءٍۢ دَافِقٍۢ
179,stemming from between the backbone and the ribcage.,86:7,86,7,"[""biological""]","[""embryology_development"",""physiology""]",,"[""EMBRYO""]","[""Origin of gonads between Backbone and Ribs""]",,TAAK_4_86_5-7,"[""signs_to_reflect_upon"",""creation_story"",""prophetic_scientific"",""Scientific Fact""]",يَخْرُجُ مِنۢ بَيْنِ ٱلصُّلْبِ وَٱلتَّرَآئِبِ
180,"By the sky with its recurring cycles,",86:11,86,11,"[""geological""]","[""hydrology_water_cycle"",""atmospheric_phenomena""]",,,"[""Atmospheric Return""]",,TAAK_4_86_11,"[""oath""]",وَٱلسَّمَآءِ ذَاتِ ٱلرَّجْعِ
181,and the earth with its sprouting plants!,86:12,86,12,"[""geological""]","[""landforms""]",,,"[""Fault Lines & Sprouting"",""Surface Change"",""Germination plant splitting soil""]",,TAAK_4_86_12,"[""phenomena"",""process"",""oath""]",وَٱلْأَرْضِ ذَاتِ ٱلصَّدْعِ
182,Do they not ever reflect on camels—how they were ˹masterfully˺ created;,88:17,88,17,"[""biological""]","[""animal_behavior_ecosystems"",""physiology""]",,,"[""Physiological Design of Camels"",""Adaptations of Camelids""]",,TAAK_4_88_17,"[""signs_to_reflect_upon"",""design""]",أَفَلَا يَنظُرُونَ إِلَى ٱلْإِبِلِ كَيْفَ خُلِقَتْ
183,"By the sun and its brightness,",91:1,91,1,"[""physical"",""cosmological""]","[""energy_radiation"",""astronomy_celestial""]",,,"[""Nuclear Fusion"",""Solar Physics""]",,TAAK_4_91_1,"[""phenomena"",""oath"",""scientific_fact""]",وَٱلشَّمْسِ وَضُحَىٰهَا
184,"and the moon as it follows it,",91:2,91,2,"[""cosmological""]","[""astronomy_celestial"",""celestial_bodies_movement""]",,,"[""Moon's Reflected light"",""Moon's Internal Structure""]",,TAAK_4_91_2,"[""phenomena"",""design""]",وَٱلْقَمَرِ إِذَا تَلَىٰهَا
185,"and the day as it unveils it,",91:3,91,3,"[""physical"",""cosmological""]","[""light_and_darkness"",""astronomy_celestial""]",,,"[""Atmosphere revealing the Sun"",""Light and Darkness""]",,TAAK_4_91_3,"[""phenomena"",""oath"",""scientific_fact""]",وَٱلنَّهَارِ إِذَا جَلَّىٰهَا
186,and the night as it conceals it!,91:4,91,4,"[""cosmological""]","[""day_night_cycles""]",,,"[""Benifits of night time"",""Night covering day""]",,TAAK_4_91_4,"[""environmental_balance"",""oath"",""scientific_fact""]",وَٱلَّيْلِ إِذَا يَغْشَىٰهَا
187,"And by heaven and ˹the One˺ Who built it,",91:5,91,5,"[""cosmological""]","[""astronomy_celestial"",""heavens_chracteristics""]",,,"[""Cohesion of Gas""]",,TAAK_4_91_5,"[""phenomena"",""design"",""oath""]",وَٱلسَّمَآءِ وَمَا بَنَىٰهَا
188,"By the fig and the olive ˹of Jerusalem˺,",95:1,95,1,"[""biological"",""geological""]","[""plant_life_agriculture"",""health"",""landforms""]","[""2"",""3""]",,"[""Olive tree"",""Figs Olives Sinai and Makkah""]",,TAAK_4_95_1-3,"[""biological_diversity"",""oath"",""scientific_fact""]",بِّسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَٱلتِّينِ وَٱلزَّيْتُونِ
189,"and Mount Sinai,",95:2,95,2,"[""biological"",""geological""]","[""plant_life_agriculture"",""health"",""landforms""]",,,"[""Olive tree"",""Figs Olives Sinai and Makkah""]",,TAAK_4_95_1-3,"[""biological_diversity"",""oath"",""scientific_fact""]",وَطُورِ سِينِينَ
190,and this secure city ˹of Mecca˺!,95:3,95,3,"[""biological"",""geological""]","[""plant_life_agriculture"",""health"",""landforms""]",,,"[""Olive tree"",""Figs Olives Sinai and Makkah""]",,TAAK_4_95_1-3,"[""biological_diversity"",""oath"",""scientific_fact""]",وَهَٰذَا ٱلْبَلَدِ ٱلْأَمِينِ
191,"Indeed, We created humans in the best form.",95:4,95,4,"[""biological""]","[""human_development"",""physiology""]",,,"[""Perfection in Human Creation""]",,TAAK_4_95_4,"[""creation_story"",""design"",""scientific_fact""]",لَقَدْ خَلَقْنَا ٱلْإِنسَٰنَ فِىٓ أَحْسَنِ تَقْوِيمٍۢ
192,"a lying, sinful forelock.",96:16,96,16,"[""biological""]","[""physiology""]",,,"[""Center of Decision Making"",""Neuroscience"",""Human forelock""]",,TAAK_4_96_16,"[""prophetic_scientific"",""scientific_fact""]",نَاصِيَةٍۢ كَٰذِبَةٍ خَاطِئَةٍۢ
193,"˹It is˺ the Day people will be like scattered moths,",101:4,101,4,"[""biological""]","[""animal_behavior_ecosystems"",""entomology""]",,,"[""Emergence from Cocoons"",""Emergence of Butterflies/Moths""]",,TAAK_4_101_4,"[""eschatology"",""Simile Usage""]",يَوْمَ يَكُونُ ٱلنَّاسُ كَٱلْفَرَاشِ ٱلْمَبْثُوثِ
194,"Then He turned towards the heaven when it was ˹still like˺ smoke, saying to it and to the earth, ‘Submit, willingly or unwillingly.’ They both responded, ‘We submit willingly.’",41:11,41,11,"[""cosmological""]","[""cosmology_universe"",""big_bang""]",,"[""BigBang_COSMOS_EXPANSION""]",[“State of heaven after bigbang”],["BigBang_CosmosExpansion_03"],TAAK_2_21_30,"[""creation_story""]",ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ وَهِىَ دُخَانٌۭ فَقَالَ لَهَا وَلِلْأَرْضِ ٱئْتِيَا طَوْعًا أَوْ كَرْهًۭا قَالَتَآ أَتَيْنَا طَآئِعِينَ
