id,hasTopicID,hasNodeID,hasRelation,hasParentNode,hadLogicalOrder,hasQuranicTermArabic,hasScientificKeywords,hasTafsirSummary,Surah:Ayah,hasType,hasSourceBook,hasReferencedPdfName,hasScientificKeywordsArabic,hasTafsirID
1,BigBang_CosmosExpansion,BigBang_CosmosExpansion_01,root_node,NULL,1,رَتْقًا,Singularity/Fused Mass,Text describes the initial state of the universe as a single joined entity with near-zero volume and infinite density.,21:30,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,جرم ابتدائي واحد / رتق,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
2,BigBang_CosmosExpansion,BigBang_CosmosExpansion_02,transforms_into,BigBang_CosmosExpansion_01,2,فَفَتَقْنَاهُمَا,Big Bang/Cosmic Inflation,Text describes the violent separation or splitting of the initial fused mass.,21:30,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,انفجار / فتق,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
3,BigBang_CosmosExpansion,BigBang_CosmosExpansion_03,originates_from,BigBang_CosmosExpansion_02,3,دُخَانٌ,Cosmic Smoke/Nebula,Text states the sky transformed into a gaseous/smoky state immediately after the separation.,41:11,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 / bigbang and expansion of universe 3 ,غلالة من الدخان,TAAK_1_7_54 / TAAK_2_21_30 / TAAK_3_51_47
4,BigBang_CosmosExpansion,BiBigBang_CosmosExpansion_04,composed_of,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Hydrogen and Helium Nuclei,Text explains the smoke contained protons and neutrons forming initial H and He nuclei.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 1 ,من مثل الإيدروجين والهيليوم,TAAK_1_7_54 / TAAK_2_21_30
5,BigBang_CosmosExpansion,BigBang_CosmosExpansion_05,has_property,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Thermal Radiation,Text links the initial heat of the smoke to modern Cosmic Microwave Background (CMB) radiation.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 ,الإشعاع الحراري الكوني,TAAK_2_21_30
6,BigBang_CosmosExpansion,BigBang_CosmosExpansion_06,characterizes,BigBang_CosmosExpansion_02,0,لَمُوسِعُونَ,Metric Expansion of Space,Text affirms the continuous widening and expansion of the constructed heaven.,51:47,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 / bigbang and expansion of universe 3,توسع الكون,TAAK_2_21_30 / TAAK_3_51_47
7,BigBang_CosmosExpansion,BigBang_CosmosExpansion_07,contrast_with,BigBang_CosmosExpansion_06,0,طَيَّ ٱلسِّجِلِّ,Big Crunch/Gravitational Collapse,Text describes the future reversal of expansion folding the universe like a scroll.,21:104,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 3 / bigbang and expansion of universe 2 ,الانسحاق الشديد للكون,TAAK_2_21_30 / TAAK_3_51_47
8,BigBang_CosmosExpansion,BigBang_CosmosExpansion_08,causes,BigBang_CosmosExpansion_03,0,Tafsir-Derived,Star Formation/Nuclear Fusion,Text explains how gravity condensed the smoke to ignite stars and fuse elements.,NULL,Process,Tafsir Ayat al-Kawniyah,bigbang and expansion of universe 2 ,الاندماج النووى,TAAK_2_21_30
9,ESTUARY,ESTUARY_01,root_node,NULL,0,بَرْزَخًا,Pycnocline/Estuarine Barrier,Text defines the barrier as a zone preventing immediate mixing between distinct water bodies.,55:20,Entity,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61,حاجز / جبهة مائية / منطقة فصل,TAAK_4_55_19-20
10,ESTUARY,ESTUARY_02,interacts_with,ESTUARY_01,0,عَذْبٌ فُرَاتٌ,Fresh Water (Riverine),Text describes palatable river water flowing into the sea.,25:53,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 / Barrier bw waters 2_386_394 ,عذب فرات / النهر العذب,TAAK_2_25_53 / TAAK_2_27_61
11,ESTUARY,ESTUARY_03,interacts_with,ESTUARY_01,0,مِلْحُ أُجَاجٌ,Salt Water (Marine),Text describes saline sea water possessing high density and bitterness.,25:53,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 / Barrier bw waters 2_386_394 ,ملح أجاج / البحر الملح,TAAK_2_25_53 / TAAK_2_27_61
12,ESTUARY,ESTUARY_04,composed_of,ESTUARY_01,0,Tafsir-Derived,Brackish Water Zone,Text explains the barrier consists of mixed water (intermediate salinity) on the fringes of the fresh layer.,NULL,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 ,ماء قليل الملوحة / الماء المختلط,TAAK_2_25_53
13,ESTUARY,ESTUARY_05,causes,ESTUARY_01,0,Tafsir-Derived,Density Stratification,Text attributes the separation to the lower density of fresh water floating over denser salt water.,NULL,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 / Barriers bw waters 3 pages_51_to_61 ,طفو الماء العذب / تباين في كثافتها,TAAK_2_25_53 / TAAK_4_55_19-20
14,ESTUARY,ESTUARY_06,performs_function,ESTUARY_01,0,لَّا يَبْغِيَانِ,Dynamic Equilibrium/Separation,Text states the barrier prevents one body from overwhelming the distinct properties of the other.,55:20,Entity,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61,لا يمتزج امتزاجا كاملا / لا يبغيان,TAAK_4_55_19-20
15,ESTUARY,ESTUARY_07,is_part_of,ESTUARY_01,0,حِجْرًا مَّحْجُورًا,Osmotic,Text interprets the 'forbidden partition' as a constraint causing death to organisms crossing their specific salinity environment.,25:53,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347,محجورة فيها / حجرا على الحياة,TAAK_2_25_53
16,ESTUARY,ESTUARY_08,originates_from,ESTUARY_01,0,Tafsir-Derived,Sediment Bar/Delta Formation,Text mentions river sediments forming physical submerged bars that aid in separating the water bodies.,NULL,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347,برزخا من تلك الرسوبيات / حاجز توزيع الماء,TAAK_2_25_53
17,ESTUARY,ESTUARY_09,regulated_by,ESTUARY_01,0,مَرَجَ,Fluid Dynamics/Turbulence,Text describes the 'Maraja' as the mixing and disturbance caused by tides and currents at the interface.,55:19,Entity,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61 / Barrier between waters_1_342_347 ,الاضطراب والاختلاط / مرج,TAAK_2_25_53 / TAAK_4_55_19-20
18,ESTUARY,ESTUARY_10,synonym_to,ESTUARY_01,0,حَاجِزًا,Pycnocline/Frontal Partition,Text describes a partition preventing one body from overwhelming the other.,27:61,Entity,Tafsir Ayat al-Kawniyah,Barrier bw waters 2_386_394,جبهة / حاجز / حواجز غير مرئية,TAAK_2_27_61
19,ESTUARY,ESTUARY_11,interacts_with,ESTUARY_09,0,يَلْتَقِيَانِ,Geospatial Front/Contact,Point of contact between two bodies before mixing/turbulence.,55:19,Process,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61 ,يلتقيان,TAAK_4_55_19-20
20,ESTUARY,ESTUARY_12,originates_from,NULL,0,أَنْهَٰرًا,Lotic System/Perennial Flow,Continuous fresh water flow systems within the land.,27:61,Entity,Tafsir Ayat al-Kawniyah,Barrier between waters_1_342_347 ,الأنهار / التدفقات النهرية,TAAK_2_25_53
21,ESTUARY,ESTUARY_13,stabilizes,ESTUARY_14,0,رَوَٰسِىَ,Isostasy/Crustal Roots,Mountains acting as anchors/pegs to stabilize the Earth's crust.,27:61,Entity,Tafsir Ayat al-Kawniyah,Barrier bw waters 2_386_394,الجبال / أوتاد الأرض,TAAK_2_27_61
22,ESTUARY,ESTUARY_14,root_node,NULL,1,قَرَارًا,Lithospheric Stability,The Earth's crust as a stable and firm platform for life.,27:61,Entity,Tafsir Ayat al-Kawniyah,Barrier bw waters 2_386_394,الاستقرار / ثبات القشرة الأرضية,TAAK_2_27_61
23,ESTUARY,ESTUARY_15,defines,NULL,0,ٱلْبَحْرَيْنِ,Dual Water Masses,General term for two distinct marine or riverine bodies.,55:19,Entity,Tafsir Ayat al-Kawniyah,Barriers bw waters 3 pages_51_to_61,البحرين,TAAK_4_55_19-20
24,HYDRO_METEO,HYDRO_METEO_01,root_node,NULL,1,يُزْجِي,Advection/Wind Driving,Text describes the gentle driving of cloud fragments by wind to initiate formation.,24:43,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_8_290_to_296 ,يزجي / سوق السحب,TAAK_2_24_43
25,HYDRO_METEO,HYDRO_METEO_02,transforms_into,HYDRO_METEO_01,2,يُؤَلِّفُ,Cloud Convergence/Merging,Text explains the joining of separate cloud masses to increase updrafts and density.,24:43,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_8_290_to_296 ,يؤلف / عملية التجميع,TAAK_2_24_43
26,HYDRO_METEO,HYDRO_METEO_03,transforms_into,HYDRO_METEO_02,3,رُكَامًا,Cumulus Congestus/Vertical Stacking,Text describes clouds piling up vertically to form thick heaped structures.,24:43,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_8_290_to_296 ,ركاما / السحب الركامية,TAAK_2_24_43
27,HYDRO_METEO,HYDRO_METEO_04,originates_from,HYDRO_METEO_03,4,الْوَدْقَ,Precipitation/Rain,Text describes rain issuing from within the gaps of the cloud structure.,24:43,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_9_300_to_306 ,الودق / المطر,TAAK_2_24_43
28,HYDRO_METEO,HYDRO_METEO_05,analogy_to,HYDRO_METEO_03,0,جِبَالٍ,Cumulonimbus/Supercell Towers,Text compares the towering structure of storm clouds to mountains.,24:43,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_8_290_to_296 ,جبال / السحب الركامية المزنية,TAAK_2_24_43
29,HYDRO_METEO,HYDRO_METEO_06,contained_in,HYDRO_METEO_05,0,بَرَدٍ,Hailstones,Text specifies that hail forms specifically inside these mountain-like high-altitude clouds.,24:43,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_8_290_to_296 ,برد / كرات البرد,TAAK_2_24_43
30,HYDRO_METEO,HYDRO_METEO_07,caused_by,HYDRO_METEO_06,0,سَنَا بَرْقِهِ,Lightning/Charge Separation,Text links the intensity of lightning directly to the presence of hail (thermodynamic phase change).,24:43,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_9_300_to_306 ,سنا برقه / البرق,TAAK_2_24_43
31,HYDRO_METEO,HYDRO_METEO_08,contrast_with,HYDRO_METEO_03,0,يَبْسُطُهُ,Stratiform Clouds/Spreading,Text contrasts vertically heaped clouds with those spread horizontally across the sky (Stratus).,30:48,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_10_462_to_469 ,يبسطه / السحاب الطبقي,TAAK_2_25_47-48
32,HYDRO_METEO,HYDRO_METEO_09,transforms_into,HYDRO_METEO_04,6,فَأَسْكَنَّاهُ,Infiltration/Aquifer Recharge,Text describes rainwater settling into the earth to become stored groundwater.,23:18,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_6_254_to_262 ,فأسكناه في الأرض / خزانات المياه تحت السطحية,TAAK_2_23_18
33,HYDRO_METEO,HYDRO_METEO_10,originates_from,HYDRO_METEO_04,0,خَضِرًا,Chlorophyll/Chloroplasts,Text links water absorption to the production of the 'green substance' (pigment) that produces grain.,6:99,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_3_238_to_242 ,خضرا / اليخضور / البلاستيدات الخضراء,TAAK_1_2_22 / TAAK_1_6:99
34,HYDRO_METEO,HYDRO_METEO_11,defined_by,HYDRO_METEO_09,0,ذَهَابٍ بِهِ,Water Table Depletion,Text asserts the possibility of the stored water disappearing (drying up or sinking too deep).,23:18,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_6_254_to_262 ,ذهاب به / غور الماء,TAAK_2_23_18
35,HYDRO_METEO,HYDRO_METEO_12,defines,HYDRO_METEO_01,0,الْمُعْصِرَاتِ,Cyclonic Systems/Compressible Clouds,Text describes systems that 'squeeze' out water (heavy rain) or are associated with cyclones.,78:14,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_12_288_to_294 ,المعصرات / السحائب المشبعة,TAAK_4_78_14
36,HYDRO_METEO,HYDRO_METEO_13,root_node,NULL,1,الصَّيِّبِ,Tropical Cyclone/Hurricane,Describes violent rotating wind systems.,2:19,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_1_64_to_69 ,الصيب / المطر الغزير / الأعاصير,TAAK_1_2_19
37,HYDRO_METEO,HYDRO_METEO_14,caused_by,HYDRO_METEO_07,0,الرَّعْدُ,Acoustic Shockwaves,Sudden expansion of air by lightning.,2:19,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_1_64_to_69 ,الرعد / انفجار هوائي / تمدد الهواء,TAAK_1_2_19
38,HYDRO_METEO,HYDRO_METEO_15,manifests_as,HYDRO_METEO_07,0,الصَّوَاعِقِ,Cloud-to-Ground Discharge,Electrical strike between cloud and earth.,2:19,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_1_64_to_69 ,الصواعق / التفريغ الكهربي,TAAK_1_2_19
39,HYDRO_METEO,HYDRO_METEO_16,flows_through,HYDRO_METEO_04,5,أَوْدِيَةٌ,Channel Flow/Surface Runoff,Water movement through valleys by capacity.,13:17,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_4_414_to_419 ,أودية / مجاري الأنهار,TAAK_1_13_17
40,HYDRO_METEO,HYDRO_METEO_17,separates_from,HYDRO_METEO_16,0,زَبَدًا,Hydro-mechanical Scum,Floating impurities from high-energy flow.,13:17,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_4_414_to_419 ,زبد / الخبث / غثاء السيل,TAAK_1_13_17
41,HYDRO_METEO,HYDRO_METEO_18,defined_by,HYDRO_METEO_09,7,شَرَابٌ,Potable Water,Water suitability for biological life.,16:10,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_5_460_to_464 ,شراب / الماء العذب,TAAK_1_16_10
42,HYDRO_METEO,HYDRO_METEO_19,defines,HYDRO_METEO_04,3,الْمُزْنِ,Nimbostratus/Rain Clouds,Saturated clouds actively raining.,56:69,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_11_102_to_109 ,المزن / السحابة البيضاء المشبعة,TAAK_4_56_68-70
43,HYDRO_METEO,HYDRO_METEO_20,contrast_with,HYDRO_METEO_18,0,أُجَاجًا,Salinity,High concentration of dissolved salts.,56:70,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_11_102_to_109 ,أجاجا / مالحا مرا,TAAK_4_56_68-70
44,HYDRO_METEO,HYDRO_METEO_21,originates_from,HYDRO_METEO_12,4,ثَجَّاجًا,Torrential Pouring,Intense pouring from cyclonic systems.,78:14,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_12_288_to_294 ,ثجاجا / ماء تجاجا / المطر الغزير,TAAK_4_78_14
45,HYDRO_METEO,HYDRO_METEO_22,contained_in,NULL,0,مَوْجٌ مِّن فَوْقِهِ مَوْجٌ,Internal Waves,Sub-surface waves between density layers.,24:40,Entity,Tafsir Ayat al-Kawniyah,Water_Cycle_7_280_to_285 ,موج من فوقه موج / الأمواج الداخلية,TAAK_2_24_40
46,HYDRO_METEO,HYDRO_METEO_23,transforms_into,HYDRO_METEO_08,0,كِسَفًا,Cloud Fragmentation,Tearing of stratiform clouds into pieces.,30:48,Process,Tafsir Ayat al-Kawniyah,Water_Cycle_10_462_to_469 ,كسفا / القطع المتناثرة,TAAK_2_25_47-48
47,EMBRYO,EMBRYO_01,root_node,NULL,1,نُطْفَةٍ,Gamete/Sperm & Ovum,Text defines Nutfa as the microscopic reproductive cells (sperm and ovum) carrying genetic material.,76:2,Process,Tafsir Ayat al-Kawniyah,embroyology_10_252_to_255 ,نطفة / الحيمن,TAAK_2_22_5 / TAAK_4_76_2
48,EMBRYO,EMBRYO_02,transforms_into,EMBRYO_01,2,أَمْشَاجٍ,Zygote,Text explains the mixing of male and female fluids to form a single cell with complete chromosomes.,76:2,Process,Tafsir Ayat al-Kawniyah,embroyology_10_252_to_255 ,نطفة أمشاج / اللقيحة,TAAK_3_32_9 / TAAK_4_76_2
49,EMBRYO,EMBRYO_03,contained_in,EMBRYO_02,0,Tafsir-Derived,Chromosomes/DNA,Text details the genetic code (46 chromosomes) stored within the nucleus determining traits.,82:7,Entity,Tafsir Ayat al-Kawniyah,embroyology_12_368_to_375 ,الجسيمات الصبغية / الحمض النووي,TAAK_1_3_6 / TAAK_4_82_6-7
50,EMBRYO,EMBRYO_04,transforms_into,EMBRYO_02,3,عَلَقَةٍ,Blastocyst/Implantation,Text describes the embryo clinging to the uterine wall like a leech (Alaqa) and feeding on blood.,22:5,Process,Tafsir Ayat al-Kawniyah,embroyology_3_158_to_163 ,علقة,TAAK_2_22_5 / TAAK_3_53_32
51,EMBRYO,EMBRYO_05,transforms_into,EMBRYO_04,4,مُضْغَةٍ,Somite Formation,Text describes the embryo appearing like a chewed substance with distinct indentations (somites).,22:5,Process,Tafsir Ayat al-Kawniyah,embroyology_3_158_to_163 ,مضغة (مخلقة وغير مخلقة),TAAK_2_22_5 / TAAK_3_32_8
52,EMBRYO,EMBRYO_06,transforms_into,EMBRYO_05,5,عِظَامًا,Osteogenesis/Ossification,Text mentions the conversion of cartilage into bone structure before muscle formation.,95:4,Process,Tafsir Ayat al-Kawniyah,embroyology_14_532_to_537 ,المرحلة العظمية / مراكز التعظم,TAAK_3_50_4 / TAAK_2_22_5
53,EMBRYO,EMBRYO_07,covers,EMBRYO_06,6,لَحْمًا,Myogenesis/Musculature,Text describes the clothing of the skeletal structure with muscles (flesh).,95:4,Process,Tafsir Ayat al-Kawniyah,embroyology_14_532_to_537 ,كسوة العظام باللحم / العضلات,TAAK_3_50_4
54,EMBRYO,EMBRYO_08,surrounds,EMBRYO_04,0,ظُلُمَاتٍ ثَلَاثٍ,Anatomical Layers/Membranes,"Text identifies three layers: abdominal wall,  uterine wall,  and the amnio-chorionic membrane.",39:6,Entity,Tafsir Ayat al-Kawniyah,embroyology_6_204_to_210 ,ظلمات ثلاث / غشاء السلى,TAAK_4_82_6-7
55,EMBRYO,EMBRYO_09,precedes,EMBRYO_02,0,يُمْنَىٰ,Ejaculation/Sperm Motility,Text describes the forceful emission of fluid containing millions of sperm.,86:6,Process,Tafsir Ayat al-Kawniyah,embroyology_13_412_to_416 ,ماء دافق / ماء مهين,TAAK_4_77_20-23 / TAAK_4_86_5-7
56,EMBRYO,EMBRYO_10,determines,EMBRYO_02,0,الذَّكَرَ وَالْأُنثَىٰ,Sex Determination (XY),Text links gender determination to the specific sperm (male Y or female X) fertilizing the egg.,53:45,Entity,Tafsir Ayat al-Kawniyah,embroyology_8_496_to_503 ,الذكر والأنثى / شارة التذكير (Y),TAAK_3_32_8 / TAAK_3_53_45
57,EMBRYO,EMBRYO_11,transforms_into,EMBRYO_07,7,خَلْقًا آخَرَ,Fetal Development,Text refers to the final stage of distinct human features and organ function after the embryonic period.,22:5,Process,Tafsir Ayat al-Kawniyah,embroyology_3_158_to_163 ,خلقا آخر / مرحلة النشأة,TAAK_2_22_5 / TAAK_3_53_32
58,BEE_BIO,BEE_BIO_01,root_node,NULL,1,وَأَوْحَىٰ,Instinct/Genetic Programming,Text explains 'Waha' as an innate instinct or genetic code (Jibilla) implanted by the Creator to guide bee behavior.,16:68,Process,Tafsir Ayat al-Kawniyah,bees_1_pages_496_to_502 ,أوحى / القدرات الفطرية / ذكاء فطري,TAAK_1_16_68
59,BEE_BIO,BEE_BIO_02,caused_by,BEE_BIO_01,2,اتَّخِذِي,Nest Site Selection/Architecture,"Text describes the specific behavioral command for workers to build hives in mountains, trees, and man-made structures.",16:68,Process,Tafsir Ayat al-Kawniyah,bees_1_pages_496_to_502 ,اتخذي / بيوتا,TAAK_1_16_68
60,BEE_BIO,BEE_BIO_03,precedes,BEE_BIO_04,3,كُلِي,Foraging/Nectar Collection,Text details the worker bee's task of gathering nectar and pollen from various floral sources (Thumarat).,16:69,Process,Tafsir Ayat al-Kawniyah,bees_2_pages_504_to_509 ,كلي / الثمرات / الرحيق,TAAK_1_16_69
61,BEE_BIO,BEE_BIO_04,facilitates,BEE_BIO_03,0,فَاسْلُكِي,Navigation/Pathfinding,Text links 'Fasluki' to the bee's sensory ability to locate flowers and return to the hive using biological navigation systems.,16:69,Process,Tafsir Ayat al-Kawniyah,bees_2_pages_504_to_509 ,فاسلكي / سبل ربك,TAAK_1_16_69
62,BEE_BIO,BEE_BIO_05,performs_function,BEE_BIO_01,0,سُبُلَ,Anatomical & Physiological Pathways,"Text interprets 'Subul' not just as roads, but as the internal biological pathways (glands/digestive tract) used to process nectar.",16:69,Entity,Tafsir Ayat al-Kawniyah,bees_2_pages_504_to_509 ,سبل / المسالك,TAAK_1_16_69
63,BEE_BIO,BEE_BIO_06,is_part_of,BEE_BIO_01,0,بُطُونِهَا,Abdominal Glands/Honey Stomach,"Text specifies the abdomen (containing the crop, wax glands, and poison sac) as the production center for bee products.",16:69,Entity,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,بطونها / الجهاز الهضمي,TAAK_1_16_81
64,BEE_BIO,BEE_BIO_07,occurs_in,BEE_BIO_06,0,Tafsir-Derived,Enzymatic Inversion,Text explains how enzymes in the bee's salivary glands convert complex sugars (sucrose) into simple sugars (glucose/fructose).,16:69,Process,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,الإنزيمات / تحويل الرحيق,TAAK_1_16_81
65,BEE_BIO,BEE_BIO_08,originates_from,BEE_BIO_06,0,شَرَابٌ,Bee Products (Honey/Royal Jelly/Venom),"Text lists the output as a liquid 'drink' which includes honey, royal jelly, and venom, all secreted from the abdomen.",16:69,Entity,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,شراب / العسل / الغذاء الملكي,TAAK_1_16_81
66,BEE_BIO,BEE_BIO_09,has_property,BEE_BIO_08,0,مُخْتَلِفٌ أَلْوَانُهُ,Chemical Polymorphism/Pigmentation,"Text attributes the color variation to floral pigments (chlorophyll, carotene) and chemical composition.",16:69,Property,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,مختلف ألوانه / الأصباغ,TAAK_1_16_81
67,BEE_BIO,BEE_BIO_10,performs_function,BEE_BIO_08,0,شِفَاءٌ,Therapeutic/Antimicrobial Activity,"Text asserts the medicinal value of bee products, noted for antibiotics, vitamins, and enzymes.",16:69,Function,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,شفاء / المضادات الحيوية,TAAK_1_16_81
68,BEE_BIO,BEE_BIO_11,is_part_of,BEE_BIO_01,0,النَّحْلِ,Eusocial Insect Community,Text highlights the use of the female plural to indicate the role of worker bees (sterile females) in the hive's labor.,16:68,Entity,Tafsir Ayat al-Kawniyah,bees_1_pages_496_to_502 ,النحل / الشغالات / الإناث,TAAK_1_16_68
69,BEE_SENSE,BEE_SENSE_01,root_node,NULL,0,فَاسْلُكِي,Navigation & Sensory System,Text interprets the command 'follow/traverse' as dependent on advanced sensory equipment for pathfinding.,16:69,Entity,Tafsir Ayat al-Kawniyah,bees_2_pages_504_to_509 ,أجهزة الاستشعار / فاسلكي,TAAK_1_16_69
70,HIVE_ARCH,HIVE_ARCH_01,root_node,NULL,0,بُيُوتًا,Hive Architecture,Text refers to the 'homes' bees are inspired to build using specific engineering principles.,16:68,Concept,Tafsir Ayat al-Kawniyah,bees_1_pages_496_to_502 ,بيوتا / الهندسة المعمارية,TAAK_1_16_68
71,HIVE_ARCH,HIVE_ARCH_02,composed_of,HIVE_ARCH_01,0,Tafsir-Derived,Beeswax,Text explains the building material is secreted from four pairs of abdominal wax glands.,16:68,Entity,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,الشمع / غدد الشمع,TAAK_1_16_81
72,PROPOLIS,PROPOLIS_01,root_node,NULL,0,شَرَابٌ,Propolis (Bee Glue),"Text classifies Propolis (Al-Akbar) as one of the 'fluids' emerging from the bee, distinct from honey.",16:69,Entity,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,العكبر (Propolis) / صمغ النحل,TAAK_1_16_81
73,PROPOLIS,PROPOLIS_02,performs_function,PROPOLIS_01,0,شِفَاءٌ,Sterilization & Mummification,Text describes its function to seal cracks and mummify killed intruders to prevent putrefaction (hive immunity) & healing characteristics of Honey,16:69,Process,Tafsir Ayat al-Kawniyah,bees_3_pages_512_to_517 ,تعقيم / تحنيط / مناعة الخلية,TAAK_1_16_81
